ace	af	als	am	an	ang	ar	as	ast	ay	az	ba	bat-smg	bcl	be	be-x-old	bg	bi	bjn	bn	br	bs	ca	cdo	ceb	chr	chy	ckb	co	cs	cv	cy	da	de	diq	el	eml	en	eo	es	et	eu	ext	fa	fi	fiu-vro	fo	fr	frr	fur	fy	ga	gan	gd	gl	gn	gu	gv	haw	he	hi	hif	hr	ht	hu	hy	ia	id	ilo	io	is	it	iu	ja	jbo	jv	ka	kab	kbd	ki	kk	km	kn	ko	krc	ksh	ku	ky	la	lb	lez	li	ln	lo	lt	lv	map-bms	mg	mhr	min	mk	ml	mn	mr	mrj	ms	mwl	my	nah	nap	nds	nds-nl	ne	new	nl	nn	no	nv	oc	om	or	pa	pam	pap	pl	pnb	ps	pt	qu	rm	ro	ru	rue	rw	sa	sah	scn	sco	sh	si	simple	sk	sl	sn	so	sq	sr	srn	su	sv	sw	szl	ta	te	tg	th	tl	tr	tt	ug	uk	ur	uz	vec	vep	vi	vls	wa	war	wikidata	wuu	xal	xmf	yi	yo	za	zh	zh-classical	zh-min-nan	zh-yue
Ië beuna	Limniese uitbarsting	Erdbeben	ጎርፍ	Lurte	Eorþbeofung	أنواع الثورات البركانية	ভূমিকম্প	Ádene	Awti pacha	Çığ	Ҡар ишелмәһе	Pūga	Linog	Вывяржэнне вулкана	Завіруха	Лавина	Bigwin	Baah	ঘূর্ণিঝড়	Dour-beuz	Lavina	Erupció límnica	Hŭng-tăi	Bagyo	ᎠᎦᎷᎦ	Mahpe hevovetäso	لافاو	Terramotu	Sopečná erupce	Çил-тăман	Eirlithriad	Snestorm	Vulkanausbruch	Hewrês	Χιονοθύελλα	Taramòt	Meteorological disasters	Subita eligo de gaso el lago	Erupción límnica	Vulkaanipurse	Bisuts	Terremotu	فوران آتشفشانی	Lumivyöry	Laviin	Jarðskjálvti	Éruption limnique	Huuchweeder	Eruzion	Oerstreaming	Maidhm shléibhe	水澇	Maoim-sneachda	Erupción límnica	Kyve'y	ચક્રવાત	Sniaghtey garroo	Makani Pāhili	התפרצות געשית	हिमप्रपात	Avalanche	Vulkanska erupcija	Inondasyon	Limnikus kitörés	Ջրհեղեղ	Avalanche	Gunung meletus	Layus	Avalancho	Eldgos	Eruzione di tipo limnico	ᓴᔪᑉᐱᓛᕗᖅ	湖水爆発	vlile carna xamsi brife	Lindhu	ქარბუქი	Tsunami	Уэгъу	Tsunami	Қар және мұз көшкіні	រញ្ជួយផែនដី	ಪ್ರವಾಹ	기상이변	Кюрт	Äädbevve	Lehî	Жер титирөө	Blizzard	Äerdbiewen	Чилин зурзунар	Eerdsjók	Moningí	ພະຍຸໂທຣນາໂດ	Pūga	Sniegputenis	Tsunami	Tondra-drano	Шолем	Tsunami	Лавина	ഹിമാനീപതനം	Үер	वादळ	Цунами	Runtuhan salji	Abalanxa	ဆိုင်ကလုံးမုန်တိုင်း	Tlālolīniliztli	Alluvione	Eerdbeven	Eardbewing	हिम पहिरो	च्वापुहुर	Limnische uitbarsting	Snøras	Limnisk utbrudd	Kéyah haʼdéísná	Avalanca	Chocho'a lafa	ଭୂମିକମ୍ପ	ਹੜ੍ਹ	Lawi	Terremoto	Erupcja limniczna	برف دا ہڑ	يمال	Erupção vulcânica	Nuyuy	Terratrembel	Erupție limnică	Лимнологическая катастрофа	Лавина	Umutingito	हिमप्रपात	Сир хамсааһына	Eruzzioni	Blizzard	Vulkanska erupcija	සුළි සුළඟ	Volcanic eruption	Blizard	Blizzard	Kundengenyeka kwenyika	Daad	Cikloni	Вулканска ерупција	Grontapubeyfi	Caah	Limniskt utbrott	Mlipuko wa volkeno	Trzyńśyńy źymje	எரிமலை வெடிப்பு	హిమ సంపాతం	Тарма	หิมะถล่ม	Pagguho	Kar fırtınası	Җир тетрәү	يەر تەۋرەش	Лімнологічна катастрофа	برفشار	Koʻchki	Vałanga	Tuho	Phun trào CO2	Eirdbevienge	Grossès aiwes	Pagkatimpag	Q6823473	海啸	Хү	დიხაშნწალუა	לאווינע	Ìjìláyípo Ilẹ̀-Olóoru	Haij Rongx	湖底噴發	熱帶氣旋	Toā-chúi	雪崩	
Ië Beuna	Blizzard	Tsunami	ጐርፍ	Lit	Earthquake	بليزارد	ছুনামি	Ádiga	Chhijchhi	Siklon	Ҡар ишелмәһә	Snėiga lavėna	Dolnop	Завіруха	Лявіна	Лавини		Calap	ঘূর্ণবাত	Liñvadenn	Poplava	Erupció volcànica	Iĕk-dái ké-siòng		ᎤᏃᎴ	Ma'xêhevovetäso	بوومەلەرزە	Terramutu	Lávový výlev	Çĕр чĕтренĕвĕ	Llifogydd	Lavine	Vulkaneruption	Erdlerz	Χιονοστιβάδα		Weather disasters	Renverso de lago	Lago explosivo	Vulkaanipursked	Bisutsa		فوران آتش فشانی	Laviini	Üleujotus	Flóðaldur	Eruption limnique	Eerdbeewrin		Ierdskodding	Maidhm sneachta	澇	Avalanche	Erupción volcánica	Amandáu	વંટોળિયો	Clagh sniaghtee		התפרצות פריאטית	हीमप्रपात		Vulkanske erupcije	Tranblemanntè	Robbanó tó	Ջրհեղեղներ	Seismo	Erupsi	Flood	Inundeso	Öskugos	Eruzione limnica	ᓴᔪᑉᐱᓛᕗᖅ/sajuppilaavuq	噴火		Lindu	ზვავი		Гъуэжькуий		Қар көшкіні	ភ្លើងឆេះព្រៃ	ಭೂಕಂಪ	이상 기후		Erdbeben	Erdhej	Цунами	Labina nivis	Tsunami		Eerdbeving			Lavina	Putenis		Havandra	Град		Lurte	Avalanche	Газар хөдлөлт	पूर		Banjir	Sismo	ရေကြီးခြင်း	Tlālollīn		Seebeven	Vleuigolve	बाढी	एभेलञ्च	Eruptie	Snøskred	Lake Nyos	Kéyah ha'déísná	Botàs	Earthquake	Earthquake	ਭੁਚਾਲ		Tsunami	Erupcja wulkanu	ہڑ	رېږدله	Erupção	Pacha kuyuy		Erupţie limnică	Извержение вулкана	Повінь		प्लावन	Кураан	Lavanca	Yirdquauk	Lavina	ගංවතුර	Blizzard	Blizzard	Snežni plaz	Shangwa	Dhulgariir	Tërmeti	Ерупција вулкана		Banjir	Exploderande sjö	Mlipuko wa volkano	Třyńśyńy źymji	பனிச்சரிவு	హిమ సంపాతాలు	Заминларза	น้ำท่วม	Guho	Tipi	Җир тетрәве	Yer Tewresh	Виверження вулкана	سیلاب	Ko‘chki	Teremoto	Uho	Tuyết lở		Hôtès aiwes	Avalancha	Q925246	Tsunami			פארפלייצונג	Hurricane		湖泊噴發	颱風	Tē-tāng	水浸	
Ie beuna	Sneeustorting		የመሬት መንቀጥቀጥ	Lurtes	Eorþbeofunȝ	تيهور	Tsunami	Inundación	Chhijchi	Daşqın	Цунами	Labina nivis		Мяцеліца	Паводка	Циклон		Lindu	ঘূর্নিঝড়	Kren-douar	Poplave	Erupció piroclàstica			Tornado		بوومه‌له‌رزه‌		Sopečný výbuch	Эпидеми	Daeargryn	Oversvømmelse	Submarine Eruption		Πεδίο χαμηλού βαρομετρικού		Meteorological disaster	Eksplodanta lago	Erupcion limnica	Vulkaani tegutsemine	Elur-jausi		فوران آتش فشاني	Sykloni	Maavärrin	Tsunami	Limnique	Siabeewrin		Ierdbeving	Maidhm shneachta	洪水	Leum-shneachd	Erupción	Aravai jere	પૂર	Claghyn sniaghtee		מדד התפרצות געשית	हिमस्खलन		Mećava	Tranblemandtè	Hóvihar	Հեղեղ	Tsunami	Letusan gunung berapi	Lapunos	Ter-tremo	Snjóflóð	Eruzione vulcanica	ᓇᑕᖅᑯᕐᓇᐃᑦ/nataqqurnait	火山噴火		Tsunami	ზვავები				Циклон		Earthquake	이상기후			Erdhejyan	Цунами, табигый кырсык	Nivium lapsus	Impakt		Eerdbevinge			Sniego griūtis	Sniega vētra					انهيار جليدي	ഹിമാനീ നിപാതം	Цунами	भूकंप		Banjir kilat	Seca	ငလျင်လှုပ်ခြင်း	Tlālolīn		Vörbeven	Tsunami	भुँइचालो	च्वापूच:ल:	Vulkaanuitbarsting	Flakras	Snøskred	Tó nitéél nitságoʼ atságáá	Inondacion	Chocho'a Lafa	ସୁନାମି	ਭੂਚਾਲ		Tormenta tropikal	Erupcja	بھونچال	وچکالي	Erupções	Pacha kunununuy		Erupție vulcanică	Вулканическое извержение	Землетрясїня		भूकम्पः	Тобурах	Allavinamentu	Tsunami	Snježna lavina	Flood	Avalanche	Lavína	Sneženi plaz	Chivhuramabwe	Dhul gariir	Tërmet	Близард		Lini	Limnisk eruption	Banguko	Třyńśyńy źymje	சூறாவளி	తుఫాను	Зилзила	น้ำท่วมขัง	Alud	Çığ	Зилзилә	ئىسسىق بەلباغ سىكلونى	Виверження вулканів	زلزلہ	Ko`chki		Ragiž	Tuyết truồi		Hosmint d' tere	Avalanche	Q7692360	海嘯			ערדציטערניש	Tropical cyclone		氣體噴發	龍捲風	Tōe-tāng	水災	
	Sikloon		የምድር መንቀጥቀጥ	Inundación	Eorþstyrung	إنهيار جليدي		Hinchente		Zəlzələ		Snėiga grūtės		Завея	Землятрус	Наводнение		Angin tutus	Cyclone	Seism	Potres	Torb					تسۆنامی		Výbuch sopky	Çил-тăвăл	Ddaeargryn	Oversvømmelser	Blizzard		Βαρομετρικό χαμηλό		Limnic eruption	Lavango	Erupción limnica	Aktiivselt tegutsev vulkaan	Elurrauso		فوران اتش فشانی	Tulva	Tsunami		Éruption volcanique	Tsunami		Tsûnamy	Tuile	水災	Crith-thalmhainn	Avalancha		ધરતીકંપ	Sterrym cassee		התפרצות תת-קרחונית	चक्रवात		Snježna lavina	Radmare	Lavina	Երկրաշարժ	Epidemia	Badai salju	Gingined	Sismo	Flóð	Eruzioni vulcaniche	ᓇᑕᖅᑯᕐᓇᐃᑦ	火山活動		Pandemi	ციკლონი				Циклондар		ಸುನಾಮಿ	분화			Bîvelerze	Эпидемия	Inundatio	Sonneneruptioun		Eerdsjókke			Sniego lavina	Zemais putenis					Ádene	ഹിമപാതം	Тропикийн циклон	भुकंप		Gempa bumi	Ciclone tropical	ဆူနာမီ	Texihuitl		Nabeven	Hittegolf	भूकम्प	ग्वःफय्	Erupties	Kramras	Sneskred	Tó nitéél nitságo' atságáá	Aigat	Tsunamis	Tsunami	ਸੁਨਾਮੀ		Tormenta tropical	Erupcja wulkaniczna	سونامی		Erupção efusiva	Terremoto		Erupţie vulcanică	Вулканические извержения	Цунамі		भूकंप		Nunnazzioni	Hail	Snežna lavina	භූචලන	Cyclone	Tlaková níž	Ciklon		Tsunami	Termetet	Близард		Sunami	Lavin	Mafuriko	Hyca	வெள்ளம்	వరద	Жола	อุทกภัย	Gumuho	Siklon	Cir teträw		Вулканічне виверження	زلزلے	Ko'chki			Lở tuyết		Seyisse	Pagkaparik	Q205418	雹			ערד ציטערניש	Tropical storm		火山噴發類型		Hái-tiòng	洪水	
	Oorstroming		ምድር መንቀጥቀጥ	Inundazión		انهيار		Terremotu		Sunami		Snėiga griūtės		Лавіна	Цунамі	Наводнения			সাইক্লোন	Krenadenn douar	Zemljotres	Torbs					تسونامی		Erupce sopky		Tsunami	Jordskælv	Lawine		Χαμηλό βαρομετρικό		Limnic Eruption	Ciklono	Erupcion límnica	Purskav vulkaan	Elurrolde		فوران آتشفشاني	Maanjäristys	Põud		Eruption volcanique	Huuwenwaag		Epidemy	Crith talún	地震	Earthquake	Avalanchas		સુનામી			התפרצות וולקנית	वादळ		Lavina	Sechrès	Ciklon	Ցունամի		Longsor salju	Ginggined	Kanikulo	Jarðskjálfti	Eruzione Vulcanica	Nataqqurnait	吹雪		Siklon tropis	წყალდიდობა				ЦИКЛОН		ತ್ಸುನಾಮಿ	화산 폭발			Tsunamî		Alluvio	Gammablëtz		Aerdbevinge			Ciklonas	Sniegvilksnis					Snėiga lavėna	വെള്ളപ്പൊക്കം	Хар салхи	त्सुनामी		Lindu		တောမီး			Erdbeven	Hitte golf	सुनामी	खुसि बाहा	Vulkanische uitbarsting	Kramfonn	Sneras	Tó nitéél nitságo atságáá	Tèrratrem	Tropical cyclone					Wybuch wulkanu	چکھڑ		Erupção Vulcanicas	Tirrimutu		Viscol	Метель	Епідемія		सुनामी		Tirrimotu	Blatter	Ciklona	භූමිකම්පාව	Flood	Cyklóna	Poplava			Krijo artikull	Лавина		Tsunami	Laviner	Tetemeko la ardhi		வெள்ளப்பெருக்கு	భూకంపం		แผ่นดินไหว	Abalansiya	Siklonlar	Цунами		Ерупція	زلزلوں	Siklon			Lụt		Tronnmints d' tere	Pagkatimpág	Q7935	冰雹			צונאמי			火山爆发类型		Chu-ná-mih	洪災	
	Aardbewing		የመሬት እንቅጥቅጥ	Inundacions		إنهيار		Seísmu		Tsunami		Žemės kustiejėms		Цыклон	Сухмень	Потоп			Cyclonic	Tsunami	Cunami	Blizzard					تسونامي		Sopečné erupce		Tswnami	Jordrystelse	Staublawine		Πλημμύρα		Lake Overturn	Tropika ciklono	Erupción volcánica	Tulemäepurse	Uholde		فوران اتشفشانی	Maanjäristykset	Marupöörüs		Explosion volcanique			Orkaan	Súnámaí	海嘯	Cuairt-ghaoth	Inundación		ત્સુનામી			ויסקול	बाढ़		Ciklona	Epidemik	Árvíz	Անտառային հրդեհներ		Siklon	Earthquake	Grelo	Flóðbylgja	Blizzard	Hail	地ふぶき		Tornado	მიწისძვრა				Сел		ಬರ	분출			Tsunami		Deluvium	Tornado		Aerdbeving			Ciklonai	Vilksnis					Лавіна	Flood		सुनामी		Linu		လေဆင်နှာမောင်း			Tsunami	Wervelstörm	सूनामी	खुसीबाहा	Supereruptie	Mjellras	Snøras	Tó nitéél nitsaago atságáá	Tèrratrémol	Tornado					Erupcja hawajska	ٹورنیڈو		Nevão	Sismo		Avalanșă	Вьюга			त्सुनामी		Tirrimutu	Tropical cyclone	Ciklon	භූමිකම්පා	Flooding	Povodeň	Povodenj			Cunami	Снежна лавина			Snöskred	Matetemeko ya ardhi		நிலநடுக்கம்	భూకంపము		Earthquake	Abalansya	Cyclone	Tsunami		Завірюха	Earthquake	Toshqin			Lũ lụt		Tronnmint d' tere	Bahâ	Q79602				טרוקעניש			雪暴		Khòng-hān	水浸街	
	Tsoenami		የመሬት እንቅጥቀጥ	Tierratremo		انهيار جليدي		Temblor		Quraqlıq		Žemės drebiejėms		Паводка	Засуха	Земетресение			Cyclonic storm		Tsunami	Allau					تسۆنامي		Blizard		Corwynt	Jordskjælv	Schneebrett		Σεισμός		Exploding lake	Inundo	Erupción piroclástica	Laviin	Uholdeak		طوفان‌برف	Tsunami	Tuulispää		Volcan en éruption			Taifoen	Tsunami	乾旱	Tornado	Terremoto		દુકાળ			מפולת שלגים	भूकंप		Poplava	Siklòn twopikal	Hullámtér	Անտառային հրդեհ		Banjir	Ginginéd	Epidemio	Tsunami	Valanga	ᐅᓚᔪᔭᖅ	暴風雪			ცუნამი				Жер сілкіну		ಕಾಳ್ಗಿಚ್ಚು	블리자드			Tsûnamî		Diluvium			Aerdsjók			Potvynis	Cīruļu putenis					Лявіна	ഭൂകമ്പം		दुष्काळ		Tanah goyang					Süük		अनिकाल	भुखा	Vulcanische uitbarsting	Syklon	Syklon	Níyoltsoh	Tèrratremol						Erupcja strombolijska			Nevasca	Sismu		Avalanşă	Лавина			प्रभञ्जन		Tirramotu	Hurricane	Poplava	සුනාමි	Floods	Zemetrasenie	Potres			Tsunami	Усов			Cyklon	Mitetemeko ya ardhi		பூகம்பம்	భూకంపాలు		กิจกรรมแผ่นดินไหว	Paguho	Sel	Эпидемия		Хурделиця	زلزلۂ	Daryolarning toshish i			Lũ		Waernu	Baha	Q8068				וואלד פייער			暴风雪		Khó-hoāⁿ	地震	
	Vloedgolf			Terremoto		انهيار ثلجي		Xarazu		Meşə yanğınları		Cunamis		Землетрасенне	Град	Земетръс			Cyclones		Suša	Cicló							Lavina		Trowynt	Jordskæv	Lawinenschutz		Σεισμοί		Lake overturn	Altakvo	Erupcion volcanica	Laviinid	Lurrikara		توفان برف	Kuivuuskausi			Blizzard			Tyfoan	Triomach	旱	Tornadò	Sismos					מפולת שלג	भूकंम्प		Poplave	Eripsyon solèy	Zöldár	Կարկուտ		Bah	Tsunami	Uragano	Skjálftaflóðbylgja	Slavina	Tornado	地吹雪			გვალვა				Зілзала		ಚಂಡಮಾರುತ	블리저드			Zîpik		Terrae motus			Aerdsjókke			Užtvindymas	Cīruļputenis					Lavina	ഭൂമികുലുക്കം		वणवा		Tsunami					Süke		असिना	भ्वक्याब्व	Vulkaan uitbarsting	Virvelstorm	Den norske syklonmodellen	Niyoltsoh	Seïsme						Zamieć śnieżna			Avalancha	Seismo		Ciclon	Лавины			चक्रवातः		Trimuotu		Poplave	නියඟය	Flash flooding	Zemetrasenia	Rušilni potres			Breshëri	Циклон			Översvämning	Tetemeko		நில நடுக்கம்	సునామి		คลื่นสึนามิ	Pag-guho	Sellerin mevsimi varmı	Өермә		Хуртовина	جنوبی ايشيا ميں سونامی	Daryolarning Toshish I			Lụt lội		Gurzea	Flood	Q7944				וואלד-פייער			雪崩		Hong-thai	海嘯	
	Tsunami			Terrentrín		إعصار		Granizu		Dolu		Kroša		Землятрус	Пошасьць	Земетресения			🌀		Šumski požar	Inundació							Cyklóna		Tornado	Forskælv	Eisstaublawine		Σεισμική δόνηση		Limnological catastrophe	Tertremo	Erupciones volcánicas	Lumelaviin	Sismo		طوفان برف	Kuivuus			Blizzard			Tornado	Clocha sneachta			Sismo					ציקלון	भूकम्प		Potres	Tònad	Áradás	Համաճարակ		Gempa bumi	Tropikal nga alipugpog		Haglél	Valanghe	ᐅᓚᔪᔭᖅ/ulajujaq	猛吹雪			სეტყვა				Жерсілкіну			눈보라			Terze		Terraemotus			Aardbeving			Žemės drebėjimas	Lavīna					Allau	ഭൂചലനം		गार		Bencana Tsunami					Warvelwind		उष्णदेशीय चक्रवात	शुनामी	Vulkanische eruptie	Flaum	Flom		Sisme						Lawina			Avalanche	Seísmo		Clasificarea ciclonilor	Снежная лавина			चक्रवात		Trimotu		Potres	නියගය	Earthquake	Cunami	Cunami			Epidemia	Kyklon			Översvämningar	Tsunami		புவி அதிர்ச்சி	సునామీ		สึนามิ	Pagguho ng lupa	Sel en çok nerelerde görülür	Торнадо		Метіль	جنوبي ايشيا ميں سونامي	Zilzila			Động đất			Linog	Q1063457				עפידעמיע			白色雪龍		Jia̍t-tāi khì-soân	乾旱	
	Droogte			Terratrémit		الهوريكان		Ciclón tropical		Tropik siklon		Viesols		Цунамі	Эпідэмія	Цунами			বন্যা		Grad	Riuada							Tlaková níže			Jordskælvet	Eislawine		Σεισμική δραστηριότητα		Limnic eruptions	Seismo	Erupciones volcanicas	Lumelaviinid	Seismo		بهمن	Kuivuuskaudet			Blizzard				Cioclón trópaiceach			Cicloxénese explosiva					שיטפון	ज़लज़ले		Zemljotres		Földrengés			Gempa	Tropical cyclone		Hagl	Ciclone		風雪			ტროპიკული ციკლონი				Жер сілкінісі			눈사태					Megacyma			Aerdsjóddel			Magnitudė	Ciklons					Eirlithriad	Earthquake		गारा		Kemarau					Groottromb		उष्णदेशीय चक्रावत	चुनामी	Uitbarsting	Oversvømmelse	20-årsflom		Tsunami						Cyklon			Alude	Temblor		Inundație	Циклон					Tsunami		Zemljotres	හිම කැට වැස්ස	Earthquakes	Tsunami	Tsunami			Uragani	Поплава			Höga flöden	Mvua ya mawe		ஆழிப்பேரலை	అనావృష్టి		Tsunami	Paguho ng lupa	Sel Felaketi			Сніговій	گرمی کی لہر	Sunami			Địa chấn			Earthquake	Q8070				שטורעם ווינט			气旋		Kńg-lê-á-hong	旱災	
